,sgName,ABL_Plasmid_1,ABL_Plasmid_2,K562_ABE_1,K562_ABE_2
0,BCRABL_3149,1686,2159,654,731
1,BCRABL_332,2481,3330,1341,1227
2,BCRABL_467,310,355,183,186
3,BCRABL_691,1861,2385,1077,1154
4,BCRABL_335,4311,5720,2697,2229
5,BCRABL_573,3329,4312,1842,1546
6,BCRABL_338,868,1098,417,378
7,BCRABL_337,649,927,322,276
8,BCRABL_1146,8864,11193,4710,4310
9,BCRABL_357,7174,9673,3710,3610
10,BCRABL_500,2025,2831,1200,1199
11,BCRABL_1147,1039,1486,516,504
12,BCRABL_690,3306,4407,1652,1712
13,BCRABL_1864,473,712,165,155
14,BCRABL_469,1748,2213,930,854
15,BCRABL_576,1544,2169,1029,855
16,BCRABL_575,2913,3702,1524,1417
17,BCRABL_745,697,917,557,429
18,BCRABL_359,6767,9121,3891,3255
19,BCRABL_501,2255,2850,1243,1168
20,BCRABL_468,2892,3853,978,977
21,BCRABL_339,3788,4957,1504,1535
22,BCRABL_262,6152,8074,2518,2494
23,BCRABL_673,1550,2096,757,791
24,BCRABL_2639,1265,1595,641,698
25,BCRABL_1716,6295,8149,3337,2908
26,BCRABL_264,2515,3298,1314,1229
27,BCRABL_3152,942,1208,431,423
28,BCRABL_3047,10721,14613,5754,5017
29,BCRABL_445,4309,5707,2339,2333
30,BCRABL_358,542,770,357,240
31,BCRABL_2450,1197,1547,742,667
32,BCRABL_1360,728,984,517,374
33,BCRABL_470,959,1305,550,410
34,BCRABL_331,401,541,270,280
35,BCRABL_1713,2327,3142,1462,1429
36,BCRABL_702,2144,2750,1442,1246
37,BCRABL_636,750,1078,545,457
38,BCRABL_471,790,973,487,558
39,BCRABL_218,1576,2266,737,589
40,BCRABL_329,1004,1305,674,610
41,BCRABL_336,864,1180,446,492
42,BCRABL_131,3069,4071,1427,1442
43,BCRABL_1794,626,883,353,329
44,BCRABL_1714,1351,1771,591,491
45,BCRABL_328,4901,6584,2637,2344
46,BCRABL_496,5875,8029,3052,3021
47,BCRABL_671,6571,8615,2671,2425
48,BCRABL_656,4733,6315,2442,2194
49,BCRABL_296,1014,1428,545,546
50,BCRABL_1503,924,1133,567,495
51,BCRABL_1148,8623,11348,5056,4396
52,BCRABL_746,1068,1345,637,585
53,BCRABL_1359,1653,2263,902,743
54,BCRABL_1499,6180,8169,3211,3310
55,BCRABL_323,2268,3123,1544,1200
56,BCRABL_1501,7699,10336,4715,4496
57,BCRABL_744,1588,2185,894,778
58,BCRABL_330,461,526,291,213
59,BCRABL_104,3548,4641,1658,1509
60,BCRABL_295,3313,4680,1917,1786
61,BCRABL_1715,908,1098,371,419
62,BCRABL_360,3631,4532,1871,1907
63,BCRABL_2886,5582,7302,3284,2893
64,BCRABL_657,7504,9983,3870,3655
65,BCRABL_635,1910,2516,940,894
66,BCRABL_708,894,1219,443,405
67,BCRABL_417,4389,6068,2002,2154
68,BCRABL_498,3796,5318,2142,1881
69,BCRABL_448,989,1296,641,620
70,BCRABL_3145,1082,1470,628,612
71,BCRABL_62,2077,2653,1253,1115
72,BCRABL_747,1325,1726,625,488
73,BCRABL_725,5694,7441,3239,2944
74,BCRABL_3050,3589,4577,1751,1796
75,BCRABL_263,9223,11960,4471,3911
76,BCRABL_577,2371,3205,1287,1000
77,BCRABL_1002,3904,5088,2344,1794
78,BCRABL_416,4419,5818,2718,2241
79,BCRABL_341,2321,2953,1066,981
80,BCRABL_1433,4271,5698,2280,2150
81,BCRABL_2316,812,1029,356,359
82,BCRABL_129,5299,7203,3432,3151
83,BCRABL_1145,742,1081,455,426
84,BCRABL_464,1357,1833,742,697
85,BCRABL_751,2124,3011,1406,1230
86,BCRABL_562,967,1359,552,520
87,BCRABL_1362,2722,3548,1427,1238
88,BCRABL_672,818,1078,436,350
89,BCRABL_655,5292,7138,2791,2747
90,BCRABL_686,1037,1448,590,462
91,BCRABL_299,2632,3282,1601,1420
92,BCRABL_706,472,692,260,253
93,BCRABL_340,1530,2012,867,670
94,BCRABL_1363,1457,2032,751,735
95,BCRABL_1618,6423,8663,3317,2954
96,BCRABL_761,2163,2866,1175,1015
97,BCRABL_1712,3881,5367,2180,2062
98,BCRABL_3144,617,882,299,264
99,BCRABL_3150,858,1085,402,302
100,BCRABL_574,1673,2340,986,847
101,BCRABL_1149,1364,1704,1165,1249
102,BCRABL_1143,2359,3238,1169,1098
103,BCRABL_1144,444,568,252,268
104,BCRABL_292,3737,4747,1405,1162
105,BCRABL_220,3540,4369,1912,1791
106,BCRABL_2049,2367,3143,1301,1091
107,BCRABL_752,4164,5575,2696,2285
108,BCRABL_758,1301,1711,943,619
109,BCRABL_2959,1883,2448,982,877
110,BCRABL_915,674,849,287,392
111,BCRABL_463,4438,5733,2479,2451
112,BCRABL_1502,975,1279,643,454
113,BCRABL_1004,507,643,327,243
114,BCRABL_742,4519,6335,2348,2333
115,BCRABL_1500,7546,10582,4549,4029
116,BCRABL_1615,6801,9134,3281,3253
117,BCRABL_1923,3060,4179,2014,1717
118,BCRABL_679,4298,5928,2295,2139
119,BCRABL_712,2422,3130,1453,1237
120,BCRABL_219,5050,6889,2096,2198
121,BCRABL_703,1452,1844,955,910
122,BCRABL_504,2622,3627,1638,1535
123,BCRABL_2070,2085,2992,704,787
124,BCRABL_2347,2755,3593,1737,1713
125,BCRABL_418,1075,1525,648,526
126,BCRABL_940,2990,4106,1602,1642
127,BCRABL_952,9213,12194,5389,4768
128,BCRABL_402,4449,6184,2364,2120
129,BCRABL_65,2362,3143,1460,1557
130,BCRABL_868,2469,3387,1441,1272
131,BCRABL_466,3359,4367,1958,1863
132,BCRABL_297,695,908,441,333
133,BCRABL_1612,4684,6269,2625,2131
134,BCRABL_760,704,886,414,320
135,BCRABL_2955,624,815,267,388
136,BCRABL_726,2524,3241,1623,1381
137,BCRABL_1011,1025,1361,699,659
138,BCRABL_444,1019,1389,573,614
139,BCRABL_436,701,953,318,316
140,BCRABL_473,2762,3648,1539,1364
141,BCRABL_502,2074,2694,1072,982
142,BCRABL_293,2384,3346,1350,1181
143,BCRABL_221,2283,3046,1547,1373
144,BCRABL_2246,752,1044,543,400
145,BCRABL_223,901,1250,571,441
146,BCRABL_327,1252,1508,614,546
147,BCRABL_917,575,911,367,353
148,BCRABL_1616,3164,4421,1488,1307
149,BCRABL_2894,1031,1439,651,603
150,BCRABL_222,411,538,216,211
151,BCRABL_674,1376,1939,667,787
152,BCRABL_387,1435,1975,1113,958
153,BCRABL_2988,1803,2276,1042,914
154,BCRABL_447,1917,2578,1102,998
155,BCRABL_2001,8970,12085,3308,3235
156,BCRABL_1074,6132,8632,3359,3198
157,BCRABL_2248,1657,2277,954,924
158,BCRABL_1141,2343,3181,1381,1089
159,BCRABL_440,550,687,332,368
160,BCRABL_138,1774,2307,746,731
161,BCRABL_499,3097,4015,1871,1558
162,BCRABL_709,777,989,295,352
163,BCRABL_678,3151,4228,1645,1377
164,BCRABL_2067,1865,2495,1227,1163
165,BCRABL_3143,462,664,203,246
166,BCRABL_1619,5999,8599,2851,2514
167,BCRABL_1008,3122,4286,2090,1948
168,BCRABL_2074,1457,1904,681,659
169,BCRABL_916,632,890,356,377
170,BCRABL_3,3774,4946,2114,1914
171,BCRABL_1693,1297,1873,852,801
172,BCRABL_1767,2872,3993,1099,937
173,BCRABL_441,4712,5755,2177,2018
174,BCRABL_1756,3096,4121,623,488
175,BCRABL_687,6977,9510,4083,3623
176,BCRABL_476,2014,2624,1386,1121
177,BCRABL_1755,1074,1581,669,673
178,BCRABL_3051,2913,3707,1586,1178
179,BCRABL_462,3173,4308,1867,1756
180,BCRABL_1080,762,1071,406,395
181,BCRABL_632,2746,3651,1702,1498
182,BCRABL_2636,2507,3230,1483,1289
183,BCRABL_36,1387,1837,637,608
184,BCRABL_1237,4182,5467,2387,2167
185,BCRABL_3053,3659,4597,1790,1688
186,BCRABL_2637,732,908,423,365
187,BCRABL_720,4391,5704,2423,2204
188,BCRABL_1660,645,819,278,325
189,BCRABL_721,2910,3847,1918,1714
190,BCRABL_2153,1739,2420,1008,1003
191,BCRABL_779,2843,3615,1268,1116
192,BCRABL_1009,1207,1567,766,707
193,BCRABL_633,6156,8385,3650,3465
194,BCRABL_2249,5545,7662,3149,3178
195,BCRABL_759,1328,1795,563,550
196,BCRABL_342,5046,6746,2539,2528
197,BCRABL_1358,3613,4767,1593,1699
198,BCRABL_1361,8840,12174,5068,4297
199,BCRABL_1588,5880,7831,4137,3642
200,BCRABL_3048,642,957,388,291
201,BCRABL_640,544,806,415,368
202,BCRABL_503,4375,5816,3037,2639
203,BCRABL_873,4090,5564,2922,2972
204,BCRABL_1555,477,645,292,300
205,BCRABL_754,1208,1501,702,697
206,BCRABL_412,700,864,442,409
207,BCRABL_2572,4349,5600,2456,2583
208,BCRABL_395,722,876,315,310
209,BCRABL_1690,3000,3940,316,375
210,BCRABL_2449,741,1054,491,384
211,BCRABL_2106,1735,2242,1136,976
212,BCRABL_2448,1216,1553,667,640
213,BCRABL_1614,6815,9349,3064,2768
214,BCRABL_1,914,1216,607,486
215,BCRABL_288,2663,3658,1758,1361
216,BCRABL_439,6526,8702,2823,2490
217,BCRABL_260,5379,7242,1950,1719
218,BCRABL_790,1237,1806,903,774
219,BCRABL_2964,626,779,199,243
220,BCRABL_634,1460,1877,680,623
221,BCRABL_1142,2106,2690,1396,1171
222,BCRABL_83,2746,3793,1459,1284
223,BCRABL_1589,6497,8542,3161,2943
224,BCRABL_322,620,805,460,429
225,BCRABL_414,4905,6371,3318,3172
226,BCRABL_874,497,748,315,363
227,BCRABL_287,5417,7484,2406,2332
228,BCRABL_707,446,668,249,266
229,BCRABL_128,3630,5040,2479,1992
230,BCRABL_743,6497,8601,3379,3043
231,BCRABL_2250,7532,10230,4486,4452
232,BCRABL_355,991,1432,739,639
233,BCRABL_693,736,957,529,568
234,BCRABL_2021,2439,3395,1144,1110
235,BCRABL_1434,1163,1516,736,630
236,BCRABL_2019,3798,5152,1965,1687
237,BCRABL_82,2423,3179,1109,841
238,BCRABL_561,1843,2388,1019,1004
239,BCRABL_1689,1632,2012,517,422
240,BCRABL_1006,3901,5382,2340,2194
241,BCRABL_1795,498,680,195,209
242,BCRABL_1617,5152,6631,2402,2235
243,BCRABL_647,1058,1282,617,467
244,BCRABL_298,1424,1886,922,632
245,BCRABL_2322,1798,2352,892,822
246,BCRABL_914,8981,12046,4715,4366
247,BCRABL_3049,1146,1530,657,740
248,BCRABL_280,1745,2169,821,917
249,BCRABL_265,1626,2019,887,783
250,BCRABL_286,2725,3698,1555,1263
251,BCRABL_506,2203,2948,1332,1348
252,BCRABL_824,5749,7585,2984,2583
253,BCRABL_631,6938,9572,4174,3671
254,BCRABL_730,3651,5038,1957,1953
255,BCRABL_130,1915,2542,1047,1017
256,BCRABL_1924,4756,6654,3212,3053
257,BCRABL_696,4007,5348,2540,2153
258,BCRABL_3093,2007,2737,1316,1157
259,BCRABL_1625,213,319,164,89
260,BCRABL_1758,8415,10941,2010,1999
261,BCRABL_3046,6364,8477,3239,2700
262,BCRABL_1754,3411,4682,2554,2121
263,BCRABL_2050,2147,2923,751,830
264,BCRABL_2048,1665,2325,1122,1036
265,BCRABL_294,1815,2378,1064,851
266,BCRABL_1812,3599,4824,2285,2285
267,BCRABL_321,5220,7148,2304,2033
268,BCRABL_3052,1493,1935,859,815
269,BCRABL_722,2222,3006,1559,1315
270,BCRABL_139,3276,4324,1394,1114
271,BCRABL_226,2376,3132,1636,1639
272,BCRABL_652,4587,6033,2421,2141
273,BCRABL_1007,3168,4111,2123,1867
274,BCRABL_2893,726,943,463,294
275,BCRABL_839,3611,5034,2113,1746
276,BCRABL_3040,466,538,221,230
277,BCRABL_186,435,572,221,184
278,BCRABL_1419,4594,6282,2479,2232
279,BCRABL_2095,602,817,320,390
280,BCRABL_685,1382,1831,790,703
281,BCRABL_835,990,1308,616,521
282,BCRABL_164,2060,2850,981,899
283,BCRABL_1752,4579,6415,3040,2515
284,BCRABL_1900,514,713,315,277
285,BCRABL_1686,5315,7355,3194,2861
286,BCRABL_2346,1332,1726,848,833
287,BCRABL_189,3271,4336,1478,1361
288,BCRABL_788,2305,3133,1592,1363
289,BCRABL_429,991,1302,524,432
290,BCRABL_1753,2159,2966,1471,1286
291,BCRABL_1757,2024,2612,1119,1229
292,BCRABL_2447,2131,2686,1384,1134
293,BCRABL_755,3941,5337,1901,1628
294,BCRABL_472,2663,3697,1466,1600
295,BCRABL_1704,4094,5592,2619,2161
296,BCRABL_384,604,778,385,399
297,BCRABL_1238,1288,1752,614,590
298,BCRABL_4,1314,1743,882,761
299,BCRABL_676,736,956,396,367
300,BCRABL_727,5272,6997,3216,2881
301,BCRABL_2885,7473,9959,4466,3748
302,BCRABL_682,3566,4623,1969,1778
303,BCRABL_728,3252,4359,2180,2106
304,BCRABL_1711,6150,8377,4133,3911
305,BCRABL_225,2998,3978,1758,1693
306,BCRABL_346,2004,2528,1128,1087
307,BCRABL_450,4144,5581,2280,1964
308,BCRABL_507,1728,2241,1150,960
309,BCRABL_2256,1847,2356,1227,1104
310,BCRABL_1592,2865,3728,1889,1747
311,BCRABL_224,6644,9162,2795,2817
312,BCRABL_1949,1608,2188,770,605
313,BCRABL_750,4489,5903,2512,2281
314,BCRABL_169,57,74,25,24
315,BCRABL_1654,1558,2194,1137,857
316,BCRABL_564,1590,1923,990,924
317,BCRABL_497,3264,4519,1732,1604
318,BCRABL_2510,1559,2116,867,796
319,BCRABL_1866,690,932,262,229
320,BCRABL_446,2042,2915,1390,1515
321,BCRABL_2957,4871,6715,2772,2419
322,BCRABL_569,3310,4481,1956,1804
323,BCRABL_789,986,1335,634,720
324,BCRABL_2262,5028,6762,2739,2559
325,BCRABL_2641,2978,3947,1754,1644
326,BCRABL_2960,1976,2590,1187,965
327,BCRABL_2640,97,127,37,55
328,BCRABL_1680,2324,3325,1507,1315
329,BCRABL_1273,6966,9427,4184,3669
330,BCRABL_1684,7753,10693,4845,4235
331,BCRABL_1613,11937,16176,6548,5986
332,BCRABL_2,2506,3344,1740,1568
333,BCRABL_2516,1207,1603,779,630
334,BCRABL_838,1235,1635,826,802
335,BCRABL_188,1692,2185,405,436
336,BCRABL_2251,4492,6109,2689,2398
337,BCRABL_474,8359,11040,4674,4087
338,BCRABL_2252,2035,2865,1239,1037
339,BCRABL_3109,269,379,132,135
340,BCRABL_2045,738,942,546,509
341,BCRABL_1724,3966,5214,2524,2381
342,BCRABL_382,4664,6252,2860,2860
343,BCRABL_741,3688,5062,2153,2079
344,BCRABL_2020,4408,6165,2007,1967
345,BCRABL_132,1616,1957,933,865
346,BCRABL_680,271,306,153,126
347,BCRABL_2003,1314,1658,904,801
348,BCRABL_1662,1211,1647,508,465
349,BCRABL_1659,778,992,559,352
350,BCRABL_1194,3894,5558,2363,2089
351,BCRABL_399,2480,3417,1559,1396
352,BCRABL_63,4173,5676,2498,2077
353,BCRABL_1556,1246,1704,718,645
354,BCRABL_1083,3519,4674,2168,2139
355,BCRABL_1813,463,489,238,292
356,BCRABL_1657,3479,4733,2519,2241
357,BCRABL_363,13456,17895,7938,7469
358,BCRABL_578,592,761,328,262
359,BCRABL_102,1864,2617,877,737
360,BCRABL_723,3074,3703,1657,1556
361,BCRABL_1234,1541,2054,803,624
362,BCRABL_66,5927,8169,3091,2860
363,BCRABL_1899,2368,3078,1138,971
364,BCRABL_1587,8075,10508,4161,3655
365,BCRABL_1001,3745,4803,2236,1927
