,sgName,Veri_L1713,Veri_L2622,Veri_L2713,Veri_L1622,Veri_plasmid
0,BCRABL_1776,339,4048,700,3530,1695
1,BCRABL_1782,3106,7226,3862,6636,1197
2,BCRABL_1792,1420,9708,2088,9110,1626
3,BCRABL_1800,1052,4994,778,4800,1399
4,BCRABL_1808,6630,12598,6242,12670,1967
5,BCRABL_1811,1166,8779,1226,8342,1138
6,BCRABL_1817,657,3351,743,3088,917
7,BCRABL_1824,4443,17314,5072,16833,2844
8,BCRABL_1829,1351,8393,2354,8121,1495
9,BCRABL_1831,1196,9971,1599,10489,1691
10,BCRABL_1833,6707,14062,6869,14854,2010
11,BCRABL_1838,5517,24345,6136,24793,3352
12,BCRABL_1840,5289,11480,6322,12226,2697
13,BCRABL_1855,517,3809,562,3447,1066
14,BCRABL_1861,1071,3146,1066,3262,571
15,BCRABL_1863,2108,9986,2651,9843,1415
16,BCRABL_1869,1914,9484,2296,9650,1797
17,BCRABL_1873,539,5156,963,5698,1620
18,BCRABL_1874,3155,14125,3074,13746,2121
19,BCRABL_1879,6592,12847,7249,13117,1804
